Algorithm,Symmetric,Cached,Search Time,Recall
brute,Asymmetric,Not Cached,0.10910296440124512,1.0
VQ,Asymmetric,Not Cached,0.058600664138793945,1.0
VQ,Symmetric,Cached,0.019933700561523438,0.076
PQ,Asymmetric,Not Cached,0.3092515468597412,0.026
PQ,Asymmetric,Cached,0.16347384452819824,0.026
PQ,Symmetric,Cached,0.15146732330322266,0.032
brute,Asymmetric,Not Cached,0.1203458309173584,1.0
VQ,Asymmetric,Not Cached,0.05465984344482422,1.0
VQ,Symmetric,Cached,0.01484227180480957,0.076
PQ,Asymmetric,Not Cached,0.34331464767456055,0.04
PQ,Asymmetric,Cached,0.1777491569519043,0.04
PQ,Symmetric,Cached,0.2095944881439209,0.032
brute,Asymmetric,Not Cached,0.10082721710205078,1.0
VQ,Asymmetric,Not Cached,0.03335905075073242,0.97
VQ,Symmetric,Cached,0.014487504959106445,0.088
PQ,Asymmetric,Not Cached,0.31625843048095703,0.026
PQ,Asymmetric,Cached,0.1417086124420166,0.026
PQ,Symmetric,Cached,0.15278291702270508,0.022
brute,Asymmetric,Not Cached,0.12343239784240723,1.0
VQ,Asymmetric,Not Cached,0.09975194931030273,1.0
VQ,Symmetric,Cached,0.011994361877441406,0.0
PQ,Asymmetric,Not Cached,0.33806657791137695,0.03
PQ,Asymmetric,Cached,0.2185821533203125,0.03
PQ,Symmetric,Cached,0.205336332321167,0.034
brute,Asymmetric,Not Cached,0.10104870796203613,1.0
VQ,Asymmetric,Not Cached,0.031054019927978516,0.822
VQ,Symmetric,Cached,0.027009010314941406,0.072
PQ,Asymmetric,Not Cached,0.675961971282959,0.144
PQ,Asymmetric,Cached,0.4762105941772461,0.144
PQ,Symmetric,Cached,0.4855782985687256,0.058
brute,Asymmetric,Not Cached,0.1188209056854248,1.0
VQ,Asymmetric,Not Cached,0.010989665985107422,0.388
VQ,Symmetric,Cached,0.0216827392578125,0.056
PQ,Asymmetric,Not Cached,0.546210527420044,0.062
PQ,Asymmetric,Cached,0.24147462844848633,0.062
PQ,Symmetric,Cached,0.3048107624053955,0.044
brute,Asymmetric,Not Cached,0.08476471900939941,1.0
VQ,Asymmetric,Not Cached,0.10046052932739258,1.0
VQ,Symmetric,Cached,0.012000083923339844,0.0
PQ,Asymmetric,Not Cached,0.31534862518310547,0.044
PQ,Asymmetric,Cached,0.1648561954498291,0.044
PQ,Symmetric,Cached,0.18950414657592773,0.044
brute,Asymmetric,Not Cached,0.1229701042175293,1.0
VQ,Asymmetric,Not Cached,0.09971237182617188,1.0
VQ,Symmetric,Cached,0.013129711151123047,0.0
PQ,Asymmetric,Not Cached,0.4390754699707031,0.01
PQ,Asymmetric,Cached,0.25861310958862305,0.01
PQ,Symmetric,Cached,0.32424283027648926,0.01
